gene_name	gene_id	annotation	tc_CDS	uniq_reads_CDS	cluster_count_CDS	tc_UTR3	uniq_reads_UTR3	cluster_count_UTR3	tc_UTR5	uniq_reads_UTR5	cluster_count_UTR5	tc_transcript	uniq_transcript	cluster_count_transcript
CNOT7	ENSG00000198791.7	protein_coding	23.5	33	1	NA	NA	NA	NA	NA	NA	23.5	33	1
GALNT18	ENSG00000110328.5	protein_coding	23.5	37.5	3	NA	NA	NA	NA	NA	NA	23.5	37.5	3
GBF1	ENSG00000107862.4	protein_coding	23.5	39	3	NA	NA	NA	NA	NA	NA	23.5	39	3
GOT2	ENSG00000125166.8	protein_coding	23.5	30	1	NA	NA	NA	NA	NA	NA	23.5	30	1
HNRNPA3	ENSG00000170144.14	protein_coding	9	13	1	14.5	17	1	NA	NA	NA	23.5	30	2
HRK	ENSG00000135116.5	protein_coding	NA	NA	NA	23.5	27	1	NA	NA	NA	23.5	27	1
KIAA1430	ENSG00000164323.8	protein_coding	23.5	42	1	NA	NA	NA	NA	NA	NA	23.5	42	1
LONP1	ENSG00000196365.7	protein_coding	23.5	35.5	3	NA	NA	NA	NA	NA	NA	23.5	35.5	3
LUC7L2	ENSG00000269955.2	protein_coding	10	12	1	NA	NA	NA	NA	NA	NA	23.5	32	2
MAPK1IP1L	ENSG00000168175.10	protein_coding	23.5	56.5	1	NA	NA	NA	NA	NA	NA	23.5	56.5	1
NF1	ENSG00000196712.12	protein_coding	15	18.5	2	8.5	11	1	NA	NA	NA	23.5	29.5	3
OAT	ENSG00000065154.7	protein_coding	11.5	16.5	2	NA	NA	NA	3	6	1	23.5	35	4
OST4	ENSG00000228474.1	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	34	1
PES1	ENSG00000100029.13	protein_coding	17	28	2	NA	NA	NA	6.5	12	1	23.5	40	3
REEP6	ENSG00000115255.6	protein_coding	23.5	2893	2	NA	NA	NA	NA	NA	NA	23.5	2893	2
SEMA4F	ENSG00000135622.8	protein_coding	23.5	32	1	NA	NA	NA	NA	NA	NA	23.5	32	1
STX7	ENSG00000079950.9	protein_coding	23.5	29.5	3	NA	NA	NA	NA	NA	NA	23.5	29.5	3
TMEM127	ENSG00000135956.4	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.5	33.5	1
TPST1	ENSG00000169902.9	protein_coding	23.5	31.5	1	NA	NA	NA	NA	NA	NA	23.5	31.5	1
UCKL1	ENSG00000198276.9	protein_coding	23.5	29	1	NA	NA	NA	NA	NA	NA	23.5	29	1
ZDHHC4	ENSG00000136247.10	protein_coding	23.5	35.5	1	NA	NA	NA	NA	NA	NA	23.5	35.5	1
ABLIM1	ENSG00000099204.14	protein_coding	5	7	1	18	20.5	1	NA	NA	NA	23	27.5	2
AGO2	ENSG00000123908.7	protein_coding	23	29.5	3	NA	NA	NA	NA	NA	NA	23	29.5	3
ALG9	ENSG00000086848.10	protein_coding	NA	NA	NA	15	26	3	NA	NA	NA	23	40	4
ANKRD17	ENSG00000132466.13	protein_coding	23	33	2	NA	NA	NA	NA	NA	NA	23	33	2
ANXA7	ENSG00000138279.11	protein_coding	NA	NA	NA	5.5	6.5	1	6.5	7	1	23	25.5	3
C14orf37	ENSG00000139971.11	protein_coding	23	27.5	2	NA	NA	NA	NA	NA	NA	23	27.5	2
CLDN1	ENSG00000163347.5	protein_coding	23	32.5	1	NA	NA	NA	NA	NA	NA	23	32.5	1
COX4I1	ENSG00000131143.4	protein_coding	23	29	2	NA	NA	NA	NA	NA	NA	23	29	2
DCAF16	ENSG00000163257.6	protein_coding	23	31.5	1	NA	NA	NA	NA	NA	NA	23	31.5	1
DLAT	ENSG00000150768.11	protein_coding	23	34	3	NA	NA	NA	NA	NA	NA	23	34	3
E2F7	ENSG00000165891.11	protein_coding	NA	NA	NA	23	25.5	1	NA	NA	NA	23	25.5	1
FAM96B	ENSG00000166595.7	protein_coding	23	24	1	NA	NA	NA	NA	NA	NA	23	24	1
FGFR2	ENSG00000066468.16	protein_coding	23	36.5	2	NA	NA	NA	NA	NA	NA	23	36.5	2
HES4	ENSG00000188290.6	protein_coding	23	37.5	2	NA	NA	NA	NA	NA	NA	23	37.5	2
HIST1H3J	ENSG00000197153.3	protein_coding	13	15.5	1	NA	NA	NA	NA	NA	NA	23	28	2
MTRR	ENSG00000124275.10	protein_coding	23	33	2	NA	NA	NA	NA	NA	NA	23	33	2
NUAK1	ENSG00000074590.9	protein_coding	NA	NA	NA	23	27	1	NA	NA	NA	23	27	1
PPDPF	ENSG00000125534.5	protein_coding	16.5	23.5	1	NA	NA	NA	NA	NA	NA	23	30	2
PPP2CB	ENSG00000104695.8	protein_coding	23	33.5	3	NA	NA	NA	NA	NA	NA	23	33.5	3
PSMD6	ENSG00000163636.6	protein_coding	23	34.5	1	NA	NA	NA	NA	NA	NA	23	34.5	1
RASL10B	ENSG00000141150.3	protein_coding	NA	NA	NA	23	25	1	NA	NA	NA	23	25	1
RP11-886H22.1	ENSG00000266997.2	protein_coding	NA	NA	NA	NA	NA	NA	23	28.5	1	23	28.5	1
RPL19	ENSG00000108298.5	protein_coding	23	29	1	NA	NA	NA	NA	NA	NA	23	29	1
RPRD1A	ENSG00000141425.13	protein_coding	13	23	2	10	10.5	1	NA	NA	NA	23	33.5	3
SCAF11	ENSG00000139218.13	protein_coding	23	29	1	NA	NA	NA	NA	NA	NA	23	29	1
SEPT8	ENSG00000164402.9	protein_coding	11	12.5	1	NA	NA	NA	NA	NA	NA	23	29	2
SLC22A5	ENSG00000197375.8	protein_coding	23	29	2	NA	NA	NA	NA	NA	NA	23	29	2
TCF4	ENSG00000196628.9	protein_coding	23	35.5	2	NA	NA	NA	NA	NA	NA	23	35.5	2
TMUB2	ENSG00000168591.11	protein_coding	NA	NA	NA	23	29	2	NA	NA	NA	23	29	2
TSEN15	ENSG00000198860.7	protein_coding	NA	NA	NA	23	27	1	NA	NA	NA	23	27	1
UBE2J1	ENSG00000198833.6	protein_coding	23	33	2	NA	NA	NA	NA	NA	NA	23	33	2
UBQLN4	ENSG00000160803.7	protein_coding	NA	NA	NA	23	26	1	NA	NA	NA	23	26	1
AKR1A1	ENSG00000117448.9	protein_coding	22.5	27.5	1	NA	NA	NA	NA	NA	NA	22.5	27.5	1
AKR7A2	ENSG00000053371.8	protein_coding	22.5	25	1	NA	NA	NA	NA	NA	NA	22.5	25	1
ANO10	ENSG00000160746.8	protein_coding	22.5	33	2	NA	NA	NA	NA	NA	NA	22.5	33	2
CCNA2	ENSG00000145386.5	protein_coding	22.5	34.5	1	NA	NA	NA	NA	NA	NA	22.5	34.5	1
CCNB2	ENSG00000157456.3	protein_coding	22.5	33	3	NA	NA	NA	NA	NA	NA	22.5	33	3
CMTM4	ENSG00000183723.8	protein_coding	5	7	1	NA	NA	NA	NA	NA	NA	22.5	33.5	2
EIF3M	ENSG00000149100.8	protein_coding	22.5	29	2	NA	NA	NA	NA	NA	NA	22.5	29	2
FMO5	ENSG00000266748.1	protein_coding	22.5	37.5	1	NA	NA	NA	NA	NA	NA	22.5	37.5	1
HIPK1	ENSG00000163349.17	protein_coding	NA	NA	NA	22.5	25	1	NA	NA	NA	22.5	25	1
IARS	ENSG00000196305.13	protein_coding	NA	NA	NA	NA	NA	NA	22.5	40	3	22.5	40	3
MBOAT2	ENSG00000143797.7	protein_coding	22.5	34	2	NA	NA	NA	NA	NA	NA	22.5	34	2
MRC2	ENSG00000011028.9	protein_coding	12.5	21	2	NA	NA	NA	10	13	1	22.5	34	3
PSME3	ENSG00000131467.6	protein_coding	NA	NA	NA	22.5	25.5	1	NA	NA	NA	22.5	25.5	1
RAC3	ENSG00000169750.4	protein_coding	22.5	30.5	1	NA	NA	NA	NA	NA	NA	22.5	30.5	1
RNF121	ENSG00000137522.13	protein_coding	22.5	33	2	NA	NA	NA	NA	NA	NA	22.5	33	2
RPSA	ENSG00000168028.9	protein_coding	22.5	27	1	NA	NA	NA	NA	NA	NA	22.5	27	1
RTFDC1	ENSG00000022277.8	protein_coding	13.5	16	1	9	14	1	NA	NA	NA	22.5	30	2
SCOC	ENSG00000153130.13	protein_coding	NA	NA	NA	22.5	28.5	1	NA	NA	NA	22.5	28.5	1
SEPP1	ENSG00000250722.1	protein_coding	22.5	38	3	NA	NA	NA	NA	NA	NA	22.5	38	3
SLC35E3	ENSG00000175782.8	protein_coding	22.5	34	4	NA	NA	NA	NA	NA	NA	22.5	34	4
SUGT1	ENSG00000165416.10	protein_coding	NA	NA	NA	NA	NA	NA	5	5.5	1	22.5	28	2
TM2D3	ENSG00000184277.8	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.5	34	1
UBL7	ENSG00000138629.11	protein_coding	12	16	1	10.5	14.5	1	NA	NA	NA	22.5	30.5	2
VPS16	ENSG00000215305.5	protein_coding	22.5	26	2	NA	NA	NA	NA	NA	NA	22.5	26	2
ZMYM2	ENSG00000121741.12	protein_coding	16.5	25.5	1	NA	NA	NA	6	8	1	22.5	33.5	2
ALG5	ENSG00000120697.4	protein_coding	NA	NA	NA	22	32.5	2	NA	NA	NA	22	32.5	2
CAST	ENSG00000153113.19	protein_coding	NA	NA	NA	22	25.5	2	NA	NA	NA	22	25.5	2
CD83	ENSG00000112149.5	protein_coding	22	29.5	1	NA	NA	NA	NA	NA	NA	22	29.5	1
DDR2	ENSG00000162733.12	protein_coding	22	47	3	NA	NA	NA	NA	NA	NA	22	47	3
DNMT1	ENSG00000130816.10	protein_coding	22	34.5	3	NA	NA	NA	NA	NA	NA	22	34.5	3
EIF2B1	ENSG00000111361.8	protein_coding	5	5.5	1	NA	NA	NA	NA	NA	NA	22	27.5	3
EPHA4	ENSG00000116106.7	protein_coding	22	34.5	2	NA	NA	NA	NA	NA	NA	22	34.5	2
GLRX5	ENSG00000182512.4	protein_coding	NA	NA	NA	22	27	3	NA	NA	NA	22	27	3
HGSNAT	ENSG00000165102.10	protein_coding	22	27	3	NA	NA	NA	NA	NA	NA	22	27	3
KIF2C	ENSG00000142945.8	protein_coding	NA	NA	NA	7	7.5	1	10	19	1	22	35	3
LGR4	ENSG00000205213.9	protein_coding	22	34.5	3	NA	NA	NA	NA	NA	NA	22	34.5	3
MAPRE2	ENSG00000166974.8	protein_coding	NA	NA	NA	18	21	1	NA	NA	NA	22	27	2
MYEOV2	ENSG00000172428.6	protein_coding	NA	NA	NA	22	32	1	NA	NA	NA	22	32	1
NCAPH	ENSG00000121152.5	protein_coding	6	11	1	7	7.5	1	9	10	1	22	28.5	3
PCYOX1L	ENSG00000145882.6	protein_coding	22	30	2	NA	NA	NA	NA	NA	NA	22	30	2
PPP3CA	ENSG00000138814.12	protein_coding	8.5	13.5	2	13.5	15	1	NA	NA	NA	22	28.5	3
PSEN1	ENSG00000080815.14	protein_coding	NA	NA	NA	22	26.5	2	NA	NA	NA	22	26.5	2
SNRPA1	ENSG00000131876.12	protein_coding	18	23	1	4	7	1	NA	NA	NA	22	30	2
STUB1	ENSG00000103266.6	protein_coding	16.5	18.5	2	NA	NA	NA	5.5	7	1	22	25.5	3
TBC1D15	ENSG00000121749.11	protein_coding	22	27	1	NA	NA	NA	NA	NA	NA	22	27	1
THOC6	ENSG00000131652.9	protein_coding	5	11	1	NA	NA	NA	NA	NA	NA	22	32	2
TNFRSF11A	ENSG00000141655.11	protein_coding	22	24	2	NA	NA	NA	NA	NA	NA	22	24	2
UBE2D1	ENSG00000072401.10	protein_coding	22	28	2	NA	NA	NA	NA	NA	NA	22	28	2
ANLN	ENSG00000011426.6	protein_coding	21.5	27	2	NA	NA	NA	NA	NA	NA	21.5	27	2
CLN8	ENSG00000182372.6	protein_coding	21.5	34.5	1	NA	NA	NA	NA	NA	NA	21.5	34.5	1
EXO1	ENSG00000174371.12	protein_coding	21.5	28.5	2	NA	NA	NA	NA	NA	NA	21.5	28.5	2
EXOC4	ENSG00000131558.10	protein_coding	21.5	26.5	2	NA	NA	NA	NA	NA	NA	21.5	26.5	2
FXR2	ENSG00000129245.7	protein_coding	21.5	28.5	2	NA	NA	NA	NA	NA	NA	21.5	28.5	2
GORASP2	ENSG00000115806.8	protein_coding	21.5	44	2	NA	NA	NA	NA	NA	NA	21.5	44	2
GPBP1L1	ENSG00000159592.6	protein_coding	NA	NA	NA	NA	NA	NA	21.5	31.5	2	21.5	31.5	2
GPR64	ENSG00000173698.13	protein_coding	21.5	32.5	4	NA	NA	NA	NA	NA	NA	21.5	32.5	4
HIST2H2AB	ENSG00000263965.1	protein_coding	NA	NA	NA	21.5	34.5	1	NA	NA	NA	21.5	34.5	1
HN1	ENSG00000189159.11	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.5	39	2
INPP5J	ENSG00000185133.9	protein_coding	21.5	26	1	NA	NA	NA	NA	NA	NA	21.5	26	1
LMNB2	ENSG00000176619.6	protein_coding	NA	NA	NA	21.5	29	2	NA	NA	NA	21.5	29	2
MAGED1	ENSG00000179222.13	protein_coding	21.5	25.5	2	NA	NA	NA	NA	NA	NA	21.5	25.5	2
NOC3L	ENSG00000173145.7	protein_coding	21.5	32.5	2	NA	NA	NA	NA	NA	NA	21.5	32.5	2
NUP85	ENSG00000125450.6	protein_coding	21.5	25.5	2	NA	NA	NA	NA	NA	NA	21.5	25.5	2
PLAC1	ENSG00000170965.5	protein_coding	21.5	29	1	NA	NA	NA	NA	NA	NA	21.5	29	1
PSMD12	ENSG00000197170.5	protein_coding	NA	NA	NA	21.5	23.5	1	NA	NA	NA	21.5	23.5	1
PTCD3	ENSG00000132300.14	protein_coding	21.5	24.5	2	NA	NA	NA	NA	NA	NA	21.5	24.5	2
SAR1A	ENSG00000079332.10	protein_coding	21.5	33.5	1	NA	NA	NA	NA	NA	NA	21.5	33.5	1
SPIN1	ENSG00000106723.12	protein_coding	4	7.5	1	4.5	11	1	13	15.5	1	21.5	34	3
TENM3	ENSG00000218336.3	protein_coding	21.5	36.5	2	NA	NA	NA	NA	NA	NA	21.5	36.5	2
TFAP4	ENSG00000090447.7	protein_coding	21.5	36.5	1	NA	NA	NA	NA	NA	NA	21.5	36.5	1
TMEM135	ENSG00000166575.12	protein_coding	15	19	1	NA	NA	NA	6.5	8.5	1	21.5	27.5	2
TSEN34	ENSG00000170892.6	protein_coding	8	10	1	13.5	18.5	1	NA	NA	NA	21.5	28.5	2
TTC3	ENSG00000182670.9	protein_coding	NA	NA	NA	21.5	33	2	NA	NA	NA	21.5	33	2
ZDHHC3	ENSG00000163812.9	protein_coding	21.5	29.5	1	NA	NA	NA	NA	NA	NA	21.5	29.5	1
ZFYVE27	ENSG00000155256.13	protein_coding	13.5	18	1	NA	NA	NA	NA	NA	NA	21.5	28.5	2
ZNF302	ENSG00000089335.16	protein_coding	21.5	27	1	NA	NA	NA	NA	NA	NA	21.5	27	1
AOC3	ENSG00000131471.2	protein_coding	NA	NA	NA	21	21.5	1	NA	NA	NA	21	21.5	1
APH1B	ENSG00000138613.9	protein_coding	21	36.5	3	NA	NA	NA	NA	NA	NA	21	36.5	3
ATG2A	ENSG00000110046.8	protein_coding	21	31	1	NA	NA	NA	NA	NA	NA	21	31	1
CAPZB	ENSG00000077549.13	protein_coding	13	18.5	2	8	9	1	NA	NA	NA	21	27.5	3
CARS	ENSG00000110619.12	protein_coding	16	19.5	1	5	8.5	1	NA	NA	NA	21	28	2
CHMP2A	ENSG00000130724.4	protein_coding	NA	NA	NA	21	26.5	1	NA	NA	NA	21	26.5	1
CUL3	ENSG00000036257.8	protein_coding	21	34	2	NA	NA	NA	NA	NA	NA	21	34	2
ERC1	ENSG00000082805.15	protein_coding	21	32	3	NA	NA	NA	NA	NA	NA	21	32	3
FBN1	ENSG00000166147.9	protein_coding	21	33.5	3	NA	NA	NA	NA	NA	NA	21	33.5	3
FLNA	ENSG00000269329.1	protein_coding	9.5	16.5	1	11.5	17.5	1	NA	NA	NA	21	34	2
GALNT14	ENSG00000158089.10	protein_coding	21	37.5	2	NA	NA	NA	NA	NA	NA	21	37.5	2
HELLS	ENSG00000119969.10	protein_coding	NA	NA	NA	21	26.5	2	NA	NA	NA	21	26.5	2
LPL	ENSG00000175445.10	protein_coding	21	28.5	2	NA	NA	NA	NA	NA	NA	21	28.5	2
LRP6	ENSG00000070018.4	protein_coding	21	28.5	3	NA	NA	NA	NA	NA	NA	21	28.5	3
MANBA	ENSG00000109323.4	protein_coding	21	25.5	2	NA	NA	NA	NA	NA	NA	21	25.5	2
MRPL39	ENSG00000154719.9	protein_coding	21	28	3	NA	NA	NA	NA	NA	NA	21	28	3
MRPL47	ENSG00000136522.9	protein_coding	NA	NA	NA	NA	NA	NA	13.5	18.5	1	21	29.5	2
NDUFB2	ENSG00000090266.8	protein_coding	NA	NA	NA	19	24.5	1	2	6.5	1	21	31	2
PAIP2	ENSG00000120727.8	protein_coding	21	37	1	NA	NA	NA	NA	NA	NA	21	37	1
POLR2F	ENSG00000100142.10	protein_coding	21	27.5	3	NA	NA	NA	NA	NA	NA	21	27.5	3
RBM10	ENSG00000271352.2	protein_coding	21	27.5	2	NA	NA	NA	NA	NA	NA	21	27.5	2
TAF6	ENSG00000106290.10	protein_coding	11.5	17	1	NA	NA	NA	NA	NA	NA	21	32	2
AGPAT3	ENSG00000160216.14	protein_coding	20.5	25	1	NA	NA	NA	NA	NA	NA	20.5	25	1
AKT1S1	ENSG00000204673.6	protein_coding	20.5	38	3	NA	NA	NA	NA	NA	NA	20.5	38	3
ALYREF	ENSG00000183684.6	protein_coding	12.5	16	2	8	10	1	NA	NA	NA	20.5	26	3
ANKRD40	ENSG00000154945.6	protein_coding	4.5	5.5	1	16	16.5	1	NA	NA	NA	20.5	22	2
CLCN3	ENSG00000109572.9	protein_coding	17	23	3	3.5	5.5	1	NA	NA	NA	20.5	28.5	4
CNN3	ENSG00000117519.11	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	27.5	2
CPSF7	ENSG00000149532.11	protein_coding	20.5	35	2	NA	NA	NA	NA	NA	NA	20.5	35	2
CSNK2A1	ENSG00000101266.12	protein_coding	13	22.5	1	7.5	11	1	NA	NA	NA	20.5	33.5	2
CYP2S1	ENSG00000167600.9	protein_coding	20.5	29.5	3	NA	NA	NA	NA	NA	NA	20.5	29.5	3
DAP	ENSG00000112977.11	protein_coding	10.5	17	1	10	14.5	1	NA	NA	NA	20.5	31.5	2
DMXL1	ENSG00000172869.10	protein_coding	20.5	23.5	1	NA	NA	NA	NA	NA	NA	20.5	23.5	1
EFCAB14	ENSG00000159658.6	protein_coding	6	7.5	1	NA	NA	NA	14.5	19	1	20.5	26.5	2
FANCD2	ENSG00000144554.6	protein_coding	20.5	27.5	1	NA	NA	NA	NA	NA	NA	20.5	27.5	1
FCF1	ENSG00000119616.7	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	31.5	1
FDX1	ENSG00000137714.2	protein_coding	11	11	1	9.5	10	1	NA	NA	NA	20.5	21	2
GABARAPL2	ENSG00000034713.3	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	26.5	1
GBAS	ENSG00000146729.5	protein_coding	20.5	26	2	NA	NA	NA	NA	NA	NA	20.5	26	2
GINS2	ENSG00000131153.4	protein_coding	20.5	35.5	2	NA	NA	NA	NA	NA	NA	20.5	35.5	2
IRF2BP2	ENSG00000168264.6	protein_coding	20.5	34.5	1	NA	NA	NA	NA	NA	NA	20.5	34.5	1
KLHL15	ENSG00000174010.9	protein_coding	20.5	29.5	2	NA	NA	NA	NA	NA	NA	20.5	29.5	2
LCLAT1	ENSG00000172954.9	protein_coding	15	19.5	1	NA	NA	NA	NA	NA	NA	20.5	26.5	2
MAN2B2	ENSG00000013288.4	protein_coding	20.5	32.5	4	NA	NA	NA	NA	NA	NA	20.5	32.5	4
MANSC1	ENSG00000111261.9	protein_coding	16.5	23	1	NA	NA	NA	NA	NA	NA	20.5	28	2
MCOLN2	ENSG00000153898.8	protein_coding	20.5	38	3	NA	NA	NA	NA	NA	NA	20.5	38	3
NFYC	ENSG00000066136.15	protein_coding	20.5	33.5	2	NA	NA	NA	NA	NA	NA	20.5	33.5	2
PDE3B	ENSG00000152270.4	protein_coding	20.5	31.5	2	NA	NA	NA	NA	NA	NA	20.5	31.5	2
PHIP	ENSG00000146247.13	protein_coding	20.5	113.5	3	NA	NA	NA	NA	NA	NA	20.5	113.5	3
PIGG	ENSG00000174227.11	protein_coding	10.5	19	1	10	18.5	2	NA	NA	NA	20.5	37.5	3
PREP	ENSG00000085377.9	protein_coding	20.5	25.5	3	NA	NA	NA	NA	NA	NA	20.5	25.5	3
RAP1B	ENSG00000127314.13	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.5	29.5	1
RP11-122A3.2	ENSG00000253250.2	protein_coding	20.5	26.5	1	NA	NA	NA	NA	NA	NA	20.5	26.5	1
SEC24C	ENSG00000176986.10	protein_coding	NA	NA	NA	7	9	1	13.5	18	1	20.5	27	2
TSPAN9	ENSG00000011105.7	protein_coding	20.5	34	1	NA	NA	NA	NA	NA	NA	20.5	34	1
USP30	ENSG00000135093.8	protein_coding	20.5	27	2	NA	NA	NA	NA	NA	NA	20.5	27	2
VEZT	ENSG00000028203.13	protein_coding	NA	NA	NA	NA	NA	NA	20.5	24.5	1	20.5	24.5	1
ABHD13	ENSG00000139826.5	protein_coding	10.5	12.5	1	9.5	10.5	1	NA	NA	NA	20	23	2
BCCIP	ENSG00000107949.12	protein_coding	20	23	1	NA	NA	NA	NA	NA	NA	20	23	1
C16orf13	ENSG00000130731.11	protein_coding	6	8.5	1	NA	NA	NA	NA	NA	NA	20	35	2
CDT1	ENSG00000167513.4	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	32.5	1
CGGBP1	ENSG00000163320.6	protein_coding	NA	NA	NA	NA	NA	NA	20	27.5	2	20	27.5	2
CNIH3	ENSG00000143786.3	protein_coding	20	31.5	1	NA	NA	NA	NA	NA	NA	20	31.5	1
DIRC2	ENSG00000138463.8	protein_coding	20	29.5	1	NA	NA	NA	NA	NA	NA	20	29.5	1
DYM	ENSG00000141627.9	protein_coding	20	28.5	2	NA	NA	NA	NA	NA	NA	20	28.5	2
EPHA2	ENSG00000142627.9	protein_coding	20	25.5	2	NA	NA	NA	NA	NA	NA	20	25.5	2
GHITM	ENSG00000165678.15	protein_coding	12.5	17.5	1	7.5	9.5	1	NA	NA	NA	20	27	2
GOLPH3	ENSG00000113384.9	protein_coding	4	7	1	NA	NA	NA	NA	NA	NA	20	27.5	2
HIF1AN	ENSG00000166135.9	protein_coding	20	31	1	NA	NA	NA	NA	NA	NA	20	31	1
PCSK6	ENSG00000140479.12	protein_coding	20	35.5	3	NA	NA	NA	NA	NA	NA	20	35.5	3
PGLS	ENSG00000130313.2	protein_coding	20	22.5	1	NA	NA	NA	NA	NA	NA	20	22.5	1
RAB11A	ENSG00000103769.5	protein_coding	9.5	11	1	NA	NA	NA	NA	NA	NA	20	26.5	2
RABEP1	ENSG00000029725.12	protein_coding	7	7.5	1	NA	NA	NA	NA	NA	NA	20	25.5	2
RPAP1	ENSG00000103932.7	protein_coding	20	30	2	NA	NA	NA	NA	NA	NA	20	30	2
SGCB	ENSG00000163069.8	protein_coding	20	24.5	1	NA	NA	NA	NA	NA	NA	20	24.5	1
SLC25A46	ENSG00000164209.12	protein_coding	6.5	8	1	NA	NA	NA	NA	NA	NA	20	26	2
SLC27A4	ENSG00000167114.8	protein_coding	20	27.5	3	NA	NA	NA	NA	NA	NA	20	27.5	3
SMPD4	ENSG00000136699.15	protein_coding	4	6	1	NA	NA	NA	5.5	14	2	20	35	4
SYNCRIP	ENSG00000135316.13	protein_coding	15.5	20	2	4.5	7	1	NA	NA	NA	20	27	3
TCEB1	ENSG00000154582.12	protein_coding	20	24	1	NA	NA	NA	NA	NA	NA	20	24	1
UBE2V1	ENSG00000244687.7	protein_coding	NA	NA	NA	11	14	1	NA	NA	NA	20	23	2
UQCRC2	ENSG00000140740.6	protein_coding	20	24.5	2	NA	NA	NA	NA	NA	NA	20	24.5	2
ZDHHC21	ENSG00000175893.7	protein_coding	20	23	1	NA	NA	NA	NA	NA	NA	20	23	1
ABCF2	ENSG00000033050.3	protein_coding	19.5	33	2	NA	NA	NA	NA	NA	NA	19.5	33	2
C15orf38-AP3S2	ENSG00000250021.3	protein_coding	6	13	1	13.5	17	2	NA	NA	NA	19.5	30	3
CAMTA1	ENSG00000171735.14	protein_coding	2	124.5	1	NA	NA	NA	NA	NA	NA	19.5	163.5	2
CCNL1	ENSG00000163660.7	protein_coding	19.5	29.5	1	NA	NA	NA	NA	NA	NA	19.5	29.5	1
CHEK1	ENSG00000149554.8	protein_coding	19.5	26	1	NA	NA	NA	NA	NA	NA	19.5	26	1
CNTN1	ENSG00000018236.10	protein_coding	19.5	38	1	NA	NA	NA	NA	NA	NA	19.5	38	1
DMKN	ENSG00000161249.16	protein_coding	NA	NA	NA	11.5	15	1	NA	NA	NA	19.5	24.5	2
DPF2	ENSG00000133884.5	protein_coding	5	7.5	1	NA	NA	NA	NA	NA	NA	19.5	45	2
EIF4E	ENSG00000151247.8	protein_coding	19.5	35.5	1	NA	NA	NA	NA	NA	NA	19.5	35.5	1
GALNT3	ENSG00000115339.9	protein_coding	19.5	28	2	NA	NA	NA	NA	NA	NA	19.5	28	2
GPRC5C	ENSG00000170412.12	protein_coding	NA	NA	NA	NA	NA	NA	19.5	28	1	19.5	28	1
GPX1	ENSG00000233276.2	protein_coding	NA	NA	NA	19.5	25.5	1	NA	NA	NA	19.5	25.5	1
HIST1H2BF	ENSG00000197846.3	protein_coding	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.5	28	1
MAPK14	ENSG00000112062.6	protein_coding	19.5	24	1	NA	NA	NA	NA	NA	NA	19.5	24	1
MED21	ENSG00000152944.4	protein_coding	NA	NA	NA	19.5	22.5	2	NA	NA	NA	19.5	22.5	2
MLF1IP	ENSG00000151725.7	protein_coding	19.5	31	1	NA	NA	NA	NA	NA	NA	19.5	31	1
PLAT	ENSG00000104368.13	protein_coding	8	12	1	11.5	20	2	NA	NA	NA	19.5	32	3
PLEKHA1	ENSG00000107679.10	protein_coding	12.5	18	1	7	9.5	1	NA	NA	NA	19.5	27.5	2
PPP6R1	ENSG00000105063.14	protein_coding	19.5	26.5	2	NA	NA	NA	NA	NA	NA	19.5	26.5	2
PSMA5	ENSG00000143106.8	protein_coding	8	9.5	1	NA	NA	NA	NA	NA	NA	19.5	30	2
RP11-162P23.2	ENSG00000257767.2	protein_coding	19.5	26	1	NA	NA	NA	NA	NA	NA	19.5	26	1
RP11-361L15.4	ENSG00000265408.1	processed_transcript	19.5	21.5	1	NA	NA	NA	NA	NA	NA	19.5	21.5	1
RP13-512J5.1	ENSG00000255767.1	protein_coding	19.5	25.5	2	NA	NA	NA	NA	NA	NA	19.5	25.5	2
SCO1	ENSG00000133028.6	protein_coding	19.5	28	1	NA	NA	NA	NA	NA	NA	19.5	28	1
SIVA1	ENSG00000184990.8	protein_coding	19.5	24.5	1	NA	NA	NA	NA	NA	NA	19.5	24.5	1
SLC35F6	ENSG00000213699.4	protein_coding	19.5	27.5	1	NA	NA	NA	NA	NA	NA	19.5	27.5	1
SMARCC1	ENSG00000173473.6	protein_coding	6	11.5	1	13.5	16.5	2	NA	NA	NA	19.5	28	3
STAM	ENSG00000136738.10	protein_coding	19.5	35	1	NA	NA	NA	NA	NA	NA	19.5	35	1
TM7SF2	ENSG00000149809.10	protein_coding	19.5	33	3	NA	NA	NA	NA	NA	NA	19.5	33	3
TOR1B	ENSG00000136816.11	protein_coding	19.5	41.5	3	NA	NA	NA	NA	NA	NA	19.5	41.5	3
